codigo,estacao,timestamp,bacia,latitude,longitude,regiao,altitude,chuva_1h_mm,chuva_6h_mm,chuva_12h_mm,chuva_24h_mm,chuva_48h_mm,rio_nivel_m,rio_tendencia
DCRS-00063,Capão do Leão - Eclusa - Canal São Gonçalo,2026-07-26T12:57:12.000+00:00,RS - Lagoa Mirim e do Canal São Gonçalo,-31.81089973449707,-52.388999938964844,Sudeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,0.6899999976158142,0.011538461782038212
DCRS-00064,São Gabriel,2026-07-26T12:57:19.000+00:00,RS - Rios Vacacaí - Vacacaí Mirim,-30.341299057006836,-54.30569839477539,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,80.33999633789062,0.2153846174478531
DCRS-00065,Dom Pedrito,2026-07-26T12:57:15.000+00:00,RS - Rio Santa Maria,-30.974599838256836,-54.68870162963867,Sudoeste Rio-grandense,,0.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,126.1500015258789,-0.0015384615398943424
DCRS-00066,Encruzilhada do Sul,2026-07-26T12:57:16.000+00:00,RS - Baixo Jacuí,-30.490400314331055,-52.58789825439453,Sudeste Rio-grandense,,1.0,1.0,1.0,1.0,1.0,180.33999633789062,0.0
DCRS-00067,Lavras do Sul,2026-07-26T12:57:14.000+00:00,RS - Rio Camaquã,-30.81570053100586,-53.89979934692383,Sudoeste Rio-grandense,,0.0,0.0,0.0,0.0,0.0,267.20001220703125,-0.0009090909152291715
DCRS-00068,Canudos do Vale,2026-07-26T12:56:58.000+00:00,RS - Rio Taquari-Antas,-29.322500228881836,-52.23550033569336,Centro Oriental Rio-grandense,,0.0,0.0,0.0,0.0,0.20000000298023224,106.36000061035156,0.0007692307699471712
DCRS-00069, Bom Princípio,2026-07-26T12:57:16.000+00:00,RS - Rio Caí,-29.487699508666992,-51.349098205566406,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,16.059999465942383,-0.0027272726874798536
DCRS-00070,São Leopoldo,2026-07-26T12:57:19.000+00:00,RS - Sinos,-29.759300231933594,-51.14929962158203,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,3.950000047683716,0.0007692307699471712
DCRS-00071,Aratiba,2026-07-26T12:57:16.000+00:00,RS - Rios Apuaê – Inhandava,-27.393400192260742,-52.29819869995117,Noroeste Rio-grandense,,0.0,0.0,0.0,0.0,3.4000000953674316,401.489990234375,-0.003846153849735856
DCRS-00072,Torres,2026-07-26T12:57:19.000+00:00,RS - Mampituba,-29.299400329589844,-49.76969909667969,Metropolitana de Porto Alegre,,0.0,0.0,0.0,0.0,0.0,0.019999999552965164,0.02230769209563732
